INFO 2025-03-07 22:42:58,622 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:00,247 basehttp "GET /admin/accounts/userroles/ HTTP/1.1" 200 15290
INFO 2025-03-07 22:43:00,280 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:04,719 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16433
INFO 2025-03-07 22:43:04,759 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:08,234 basehttp "GET /admin/admin_dashboard/viewaccess/5/change/ HTTP/1.1" 200 16262
INFO 2025-03-07 22:43:08,272 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:10,274 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16433
INFO 2025-03-07 22:43:18,465 basehttp "GET /admin/admin_dashboard/viewaccess/3/change/ HTTP/1.1" 200 16278
INFO 2025-03-07 22:43:18,502 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:21,044 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16433
INFO 2025-03-07 22:43:26,244 basehttp "GET /admin/admin_dashboard/viewaccess/4/change/ HTTP/1.1" 200 16253
INFO 2025-03-07 22:43:26,285 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:31,864 basehttp "POST /admin/admin_dashboard/viewaccess/4/change/ HTTP/1.1" 302 0
INFO 2025-03-07 22:43:31,894 basehttp "GET /admin/admin_dashboard/viewaccess/ HTTP/1.1" 200 16685
INFO 2025-03-07 22:43:31,928 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:33,315 basehttp "GET /admin/admin_dashboard/viewaccess/4/change/ HTTP/1.1" 200 16262
INFO 2025-03-07 22:43:33,353 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-07 22:43:35,438 basehttp "POST /admin/admin_dashboard/viewaccess/4/change/ HTTP/1.1" 302 0
